PI AD IGC FI FC
1.57 2.75 3.17 1 2.4
3.71 4.5 5 3.2 3.6
3.71 3.63 4.17 3.8 3.8
3.71 4.75 5 4.8 5
4.14 3.25 5 1.4 4
3.71 4 4.83 3.8 4.6
3.86 3.63 4.83 3 3.75
3.71 2.88 4.83 2.4 3
4.86 4.38 5 3.6 3.8
4 4.25 4.33 3.8 3.4
4.43 4.38 5 2.8 2.8
4.29 4.75 5 3.2 3.6
4.86 3.75 4.83 2 2.4
4.71 4.38 5 4.6 4.8
3.71 4.38 5 4.4 5
2.57 3.63 4.5 2 2.8
4.14 4.5 5 3.4 5
1.57 1.38 2.67 1 2.6
2.33 4.13 4.5 2.4 4
3.86 4.63 4.67 3.4 4.4
3.71 4.38 5 3 3.6
4 3.88 4.5 4 3.8
2.71 3.5 4.83 2.4 3
3.57 4 4.83 2.6 3.2
4.43 3.5 5 3.5 4.8
3.57 4.63 5 3.4 4.6
2.83 4.63 5 3.4 4.2
2.14 2.5 4 2.8 3.2
3.14 4 4.5 2.8 3.4
3.43 4.13 4.33 3.2 3.8
4.71 3.88 5 4.2 4
2 3.13 4 2.2 3.2
4 4.13 4.17 4 4
3.57 3.88 3.33 3.8 3.8
4.29 3.25 4.33 3.4 3.8
3.14 4.13 4.33 2.2 3.8
3.29 3.63 4.5 3.8 4
2.14 3.25 5 2.8 4.4
4 4.5 5 4.2 5
1.86 3.38 4.17 1.6 2.4
2.86 4.13 5 3 4.8
2.86 3.5 4.5 2.4 3.2
4 3.88 4.83 2.8 3.4
4 4.13 5 3 3.6
3 4.5 4.83 3 4
4.29 4.13 4.83 3.4 4.6
2.86 3.13 4.33 2.8 3.4
3.14 3.88 4.5 3 4
2.71 4.38 4.83 2 3.8
3.43 3.63 4.67 1.4 3.2
1.86 2.63 3.83 4 4.2
5 4.25 5 3.8 5
3.29 3.13 4.33 2.8 3
2.57 3.5 4.83 3.4 4
5 4.88 5 4.8 5
3.57 4.25 4.83 3 3.8
3.71 3.63 4 2.8 4
3.29 3.5 4.67 2.8 4
3.14 4 5 3.6 5
3.43 4.38 5 3 3.8
3.14 3.75 4.67 3.8 4.4
2.43 3.13 3.17 3 3.6
2.43 3.25 4.83 2.2 3
3.29 3.75 4.17 3.2 4
2.14 3.63 4.33 2 3.6
1 1.38 3.33 1 1
3.14 3.88 4.83 3 3.4
3.29 3 4 2 3.6
2.71 3.5 5 1.6 3.2
3.29 4.5 5 3.2 3.4
2.57 3.5 4.17 2 2
4 4 4 4 4
5 4 4.83 3.6 3
3.29 3.88 3.67 3 3
3.86 4 4.33 3.8 4
2.86 3.25 4.17 3 3.6
3.71 3.88 4.5 3 3.8
3.43 3.88 5 3.4 4
3.29 4.5 5 1.4 4.4
2.86 3.38 4.67 3 4
3.71 4.5 4.5 3.6 3.8
3.14 3.88 4.67 3.2 4.2
3.14 4 4.83 2.6 3.6
1.86 3.25 4.33 3.2 1.4
3.71 4.63 5 3.4 4.8
4 4.75 5 5 5
3.57 4.75 5 4.2 4.2
3.86 4.5 5 3 3.8
4.43 4.75 5 4.4 5
3.86 4.75 5 4 5
3.57 3.86 4.5 3 3.2
3.43 3.13 4.33 3 3.8
3.57 4.38 5 2 3.8
4 4.63 5 3.2 5
4.29 3.63 4.5 3.4 3.2
2.71 3.63 4.5 2.6 3.6
3.57 4.75 5 2.8 4.2
2.43 4.13 4.5 3.2 3.8
3 4.63 4.83 4.2 3.6
2.71 4.13 5 3 5
3.29 3.88 5 3 3.8
3.71 3.38 3.33 2 2.8
4.86 4.5 5 4.8 5
4.14 3.75 5 3 3.4
3.43 3.75 5 2.6 4
3.86 4.25 5 3.4 4.2
3.71 4.63 5 2.2 3.4
2.29 3.25 4 3 3.2
3.14 3.63 4.33 2.2 3.6
4.71 4.75 5 4 5
2.86 3.57 3.83 3 3.4
3.43 4 4.33 2.8 3.4
3.86 4.13 5 4.4 4.2
3.57 3 4.33 3 3.8
2.43 3 4.5 2.4 2.8
3.86 3.75 3.5 3.8 3.8
3.71 4 4.67 3.6 4
2.71 4.38 4.67 2.8 3.6
3.71 4.25 5 1.8 3.2
2.57 3.75 3.5 2.8 3.2
2.5 3.5 4.5 2.8 3.4
3.29 4.25 5 2 2.8
3.57 3.88 3.83 2.4 3.6
2.43 4 4.83 3 4.6
3.71 3.63 4.17 2.8 3.4
3.57 4.5 4.83 3.2 3.4
1.71 2.5 4.5 2.8 1.4
2 2.5 3 2 2.6
4 4.25 4.83 3.4 3.8
2 2.75 3.67 2 2
2.14 2.13 3.67 1.8 2
2.43 2.88 3.5 2.2 3.4
3 4.38 5 2.6 3.6
2.29 3.25 3.67 2.8 3.8
3 3.5 5 2.8 3.2
3.14 3.63 4.67 2.2 3.6
2.29 3.5 4.33 2.6 2.8
3.71 4.25 4.5 4 4.2
2.86 3.63 3.83 2.8 3
3 4.13 5 3.2 4.4
3 3.63 4.17 2.8 3.4
2.29 3.5 4.33 1.8 2.6
1.86 3.75 4.17 2.2 3.4
1.71 3.75 4.67 1.6 4
4.5 4.63 5 3 4.6
2.57 3.25 4.17 2.8 3.2
2.43 3 4.67 2.6 3
3 4.25 4.5 2.4 3.4
1.86 4.38 4.83 3.4 4
3.86 3.88 5 3.8 3
3.57 4.63 5 4.4 4.4
5 4.38 5 2.2 2.8
2.71 3.38 4.33 3 2.6
4.57 3.5 5 2.8 4
3.43 3.25 4 3.2 3.8
3 3.5 4.5 2.6 2.4
3.86 5 5 3.4 4.6
1.43 2.88 4.33 1.2 3
3.43 3.5 4 3 3.8
3 4 4.83 3.5 4.6
2.57 4 4.83 1.4 4.2
3.14 4.25 5 2.8 3.8
2.57 3.13 3.83 3 2.8
3 4 5 3 3.2
1 3.38 4.17 1 2
3.14 4 4.67 2.8 3
2.43 4.13 4.83 3.6 4
3.43 3.63 5 3.8 4.6
3.71 3.75 4.5 3.4 3.6
3 4.25 5 2.6 3.8
4.29 4.5 5 3.4 4.6
4.29 4 4.67 4.4 4.4
2.57 3.5 4.17 2.2 3
2.43 3.63 4.33 1.4 2.6
3.29 4.13 5 2.8 3
2.43 2.75 4 2.2 2
2.43 3.5 4.17 2.8 2.8
2.14 3.13 3.83 3.2 3.6
2.86 4.38 4.67 3.4 3.8
3.43 4.13 5 3 3.6
2.43 3.75 4.33 2.4 2.8
3.29 2.75 4.5 2 2
2.57 3.5 4.5 1.2 3.4
2.71 4.13 4.83 3.6 4
3.29 3.5 3.67 2.4 3.8
3.14 4.25 4.83 3 3.4
3.29 3.63 3.5 3 3.8
3.71 4.38 4.83 2.2 3.6
3.14 3.5 4.33 3 4
5 4.5 5 4 5
3.71 3.71 4.17 3.4 4
4 3.75 4.83 3 3.8
3 3.75 4.5 2.8 3.2
2.29 3.88 4.5 2 3.4
3.86 4.75 4.67 4 5
3.86 4.38 5 3.2 4.6
2.43 3.75 4.33 2.6 3.2
3.43 3.63 4 3.6 3.4
3.57 4.13 5 3.2 3.6
3.71 3.88 4.83 2.8 3.8
5 4.75 5 5 5
3.29 4.25 4.67 2.6 3.8
3.57 3.75 4.33 3 3.8
2.29 3.75 4.17 2.2 3.4
3.86 3.25 4.5 2.4 3
4 3.75 5 1.6 1.6
4.14 4.13 4.67 3.2 4.4
3.14 3.25 4.17 2 3
2.71 3.75 3.83 2.6 3.2
2.86 3.63 4.17 2.4 3.6
3.29 4 5 3.4 4.2
1.86 4.25 4.67 2.8 3.8
3.43 3.88 5 3.2 3
2.86 2.63 4.33 3 3.8
3.43 3.63 4.5 3 4
3.67 4.13 5 3.2 4.6
3.71 3.88 4.17 3.8 4
3.71 5 5 3 3.6
4.43 4.63 5 3.4 3.2
3.43 4 5 3 4.2
2.43 4 3.83 2.8 3.2
2.43 3.63 4 2 3.6
3.71 4.13 5 3.4 3.8
4 3.88 4.5 3.8 4
2.14 3.63 4.83 2 3.2
4 4 4.83 4 4
3 3.13 3.33 3 3.8
2.29 3.63 3.67 1 1.2
3.86 3.75 5 1.6 3.2
2.86 4 4.5 3.2 3
3.29 3.63 4.83 1.6 3.4
2.71 2.88 4.5 1 3.6
3.57 4.38 5 2.8 3.8
3.14 4.25 5 3 3.6
2.29 3.75 4.33 3.2 3.4
4.43 4.75 5 4.6 5
2.14 3.75 4.83 2.6 4
4.29 4.13 5 3.2 4
3.71 4.75 5 4.4 3.8
3 3.75 4.83 3.2 3.2
4 4.75 5 4.6 4.6
3.71 3.63 4.67 2.6 3.2
4.29 4.88 5 4.6 5
4.29 4.88 5 4.6 4.8
3.86 3.88 5 3.8 3.8
4.71 4.63 5 4.2 4.8
4.57 4.5 5 2.6 4
2.71 3.25 4.83 2.6 3.8
4.14 4.5 5 5 4.2
2 2.88 4.17 1 2.2
3.14 3.5 3.83 3.2 3.4
4.14 4 5 4.2 4.8
3 3.88 4.83 3 4
3.57 4.13 5 1.4 3.4
3.14 4.5 4.8 4 4
2.57 3 3.83 2.4 2.8
4.86 4.5 5 4.6 5
3.14 3.5 5 3 3.8
3.86 3.63 4.5 3.8 4.6
3.43 4.5 5 3.2 4
3.29 3.75 4.67 3.2 4.4
3.29 3.63 4.5 2.8 3.6
4.57 4.5 5 4 3.8
3.57 3.5 3.5 2.4 3.6
4.71 4.13 4.67 3.8 4.4
3.57 3.75 4.5 4 4
5 5 5 5 5
4.71 4.5 5 3 3.8
2.57 3.14 4.5 2.6 3.2
3.57 2.25 3.67 2.8 3.8
4.29 3.88 4.67 3.2 2.6
4 4.63 5 4.4 4.6
3.86 3.13 4.67 2.6 3.2
1.86 2.88 3.33 2.8 3.2
3.14 3.38 5 3 3.6
3.57 4.63 5 4.6 4.8
3.29 3.75 4.83 3.2 4.2
4.71 4.88 5 5 5
3.57 3.38 4.33 4 4.6
3.86 4.63 5 4.2 4.2
3.57 3.88 4.5 2.8 3.6
3.43 3.13 4.67 1 1.6
3.43 4 4.67 3.6 3.4
4 4.38 4.5 3.8 3.8
3.86 4.13 4.83 3 3.8
3.71 3 4 2.2 3.2
5 4.75 5 5 5
4.14 4.75 4.83 4.4 5
2.86 2.5 4.17 2.6 3
5 4.63 5 3 3.2
1.71 4.75 5 4.6 5
4 4 4.17 4 4
3.29 3.88 4.17 2.4 4
3 3.5 3.83 3 3
3.14 4.5 5 4 4.8
2.43 4.38 5 4 4.8
4 3.88 4 4 3.8
3.71 4.13 4.67 3 3.8
3.71 3.25 3.83 1.8 3.2
3 3.88 4.17 2.8 3.2
2.86 4.63 5 2.8 4.4
4.29 4.25 5 4 4
3.57 4.13 5 4.4 4
4 5 5 4.4 4.6
2.86 3.75 5 2.6 2.5
3.29 4.5 5 3 3.8
4 5 5 3.8 4.6
3.14 3.75 5 1.2 3.6
4.29 4.63 5 4.8 4.6
3.57 4.25 5 3.2 4.6
3.43 3.88 5 2.8 3.4
3 3.88 4.33 3.6 3.6
3.43 3.88 4.17 3.8 3.8
2.43 3.75 4.83 3.2 3.6
3.43 3.88 3.33 3.8 3.8
2.57 4.25 4.67 1 4.2
2.57 3.63 4.17 2.4 3.2
1 3.5 5 3.4 2.8
2.86 3.5 4.67 3.2 3.4
3.57 4.13 5 4.2 4.8
1.71 4.13 4.17 2.8 2.75
3 4.88 5 3.2 3
3.14 4.13 5 2.2 3.6
5 5 5 5 5
3.86 4.25 4.67 3.4 4.8
5 4.75 5 5 5
3.14 4.13 4.67 4.2 4.8
3.86 4.13 4.83 3.2 4.2
2.14 4 4.5 2.4 2
1.29 2 3.83 1 1.33
3 3.75 4.83 2.6 3.6
2.71 3.63 4 3.8 3.75
2.57 3.38 4.33 2.8 3.8
3.29 4.38 5 2.8 4.6
3.14 3 4.83 3.2 3.6
3 3.5 4.83 2.2 3.6
1.29 3.13 4.67 2.8 3
2.57 4 5 3 3
3.71 4.13 4.83 3 4.6
2.86 3.75 4.83 3 4.6
1 2.57 4.2 1 1.2
4.57 4.38 5 5 5
3.43 3.88 4.83 3.2 4
3.29 3.88 4.67 3.4 3.4
3 3.63 4.33 3 2.6
4 3.63 4.67 2.4 3
3.43 3.88 4.67 2.4 4
4.86 4 4.33 3.4 2.8
4.43 4.25 4.83 2.8 4.4
2.57 3.63 4 2 3.4
3.29 3.88 4.83 3.8 3.8
3.43 3.75 4.83 3.2 3.8
3.14 4 4.83 2.8 4.4
3.71 2.88 4.17 2.6 3.8
2.86 4.88 5 3.4 3.2
3.14 3.88 4.83 2.8 3.6
3.29 3.5 5 2.8 3.6
3.14 4 4.83 2.2 2.8
4 3.88 4.83 3.2 3.8
2.86 3.63 5 2.6 3.6
3.14 4.25 5 3 4
3.29 3.75 4.5 3 3.8
3.14 4 4.83 3.8 4.2
4.43 3.25 4.17 3 4.2
2.29 3.25 4.33 2 3.4
2.71 3.88 5 2.8 3.6
3.14 3.88 4.17 3.6 3.8
4.29 4.63 5 1.2 3.4
3.43 3.5 4.67 2.8 2.6
2.71 2.63 4 2.6 2.8
1 3.5 3.67 1.6 1
3.43 4.25 4.83 4 3.4
3.43 4 4.4 2.8 3.2
4 4.13 4.17 3.8 4
3.29 4 5 3.6 3.8
4.71 4.63 5 4.8 5
4.57 4.38 5 3.4 4.8
4 3.88 3.83 4 4
2.29 3.63 4.17 1.2 3
3.86 4.38 5 3.2 4.8
4.71 4 4.17 2.8 4
1.43 2.75 4.5 1.2 2.6
2.57 3.88 3.33 3 3.6
1.43 3.75 5 3 3.4
3.5 3.5 3.83 2.2 3.2
4.14 4.5 5 4.2 4.6
4 4.5 5 4 4
3.86 4.63 4.83 2.4 4.6
3.43 3.75 4 4 4
3.71 4.5 4.83 2.8 3.8
3.71 4.13 4.67 1.6 4.4
3.29 4.25 4.83 2.2 3.6
4.14 4.63 4.83 3.4 4.4
2.86 3.25 4 2.2 3.2
2.86 3.88 3.83 3.2 4
4.86 4.88 5 5 4.6
4 4 4.33 4 4
1.43 3.43 4.17 2.2 2.8
2.29 3.5 4.83 3 2.6
3.86 3 4.83 2.4 4
3.71 4.38 5 3.8 4
3.14 4.63 5 3.8 4.8
4 4.13 4.83 3.8 4
2.43 2.63 3.83 2.6 2.2
4.57 4.25 5 3.2 4
2.57 3.5 4.67 2.6 3.5
4 4 3.83 4 4
2.71 3 5 2.6 3.4
4.43 4.63 5 4.8 4.8
2.57 3.13 4.33 2.4 3.8
4.71 4.88 4.67 5 4.8
3.86 3.88 4.5 2.6 2
2.57 3.63 4 1.4 2.4
4.86 4 4.83 4.2 3.6
3.43 4.5 5 2.6 3.8
3.57 3.71 4.67 3.2 3.8
4.14 4.25 5 3 4.2
